pmcid	doi	journal	year	versions	findings	title
PMC10550829	10.1038/s41586-023-06541-3	Nature	2023		AF9 (if ACF FWHM quoted as kernel FWHM, or -acf -FWHM used)	Cingulate dynamics track depression recovery with deep brain stimulation.
PMC12595413	10.1073/pnas.2520067122	PNAS	2025		AF6 (if sequential-descending NIfTI slice codes)	Parallel systems for social and spatial cognition reaching the cortical apex.
PMC12377651	10.1073/pnas.2421528122	PNAS	2025			Familial transmission of neural representations for mental arithmetic across two generations.
PMC12337265	10.1073/pnas.2501578122	PNAS	2025	18.0.05		Orexin effect on physiological pulsations of the human brain.
PMC12304909	10.1073/pnas.2422742122	PNAS	2025			Dynamic neuroplasticity of language networks: The intersection of bilingualism and epilepsy.
PMC12232412	10.1073/pnas.2417010122	PNAS	2025			Genetic contributions to brain criticality and its relationship with human cognitive functions.
PMC12088441	10.1073/pnas.2503569122	PNAS	2025			Early development of navigationally relevant location information in the retrosplenial complex.
PMC12012540	10.1073/pnas.2413871122	PNAS	2025		AF6 (if sequential-descending NIfTI slice codes)	The Beholder's Share: Bridging art and neuroscience to study individual differences in subjective experience.
PMC12002251	10.1073/pnas.2406684122	PNAS	2025		AF6 (if sequential-descending NIfTI slice codes)	Expectation-dependent stimulus selectivity in the ventral visual cortical pathway.
PMC11761675	10.1073/pnas.2421585122	PNAS	2025			Expansion of a conserved architecture drives the evolution of the primate visual cortex.
PMC11648923	10.1073/pnas.2410445121	PNAS	2024			Sculpting new visual categories into the human brain.
PMC11331068	10.1073/pnas.2314074121	PNAS	2024			Human adolescent brain similarity development is different for paralimbic versus neocortical zones.
PMC11252731	10.1073/pnas.2321346121	PNAS	2024		AF6 (if sequential-descending NIfTI slice codes)	A familiar face and person processing area in the human temporal pole.
PMC11252739	10.1073/pnas.2317458121	PNAS	2024	21.1.10		Hemispheric functional organization, as revealed by naturalistic neuroimaging, in pediatric epilepsy patients with cortical resections.
PMC11067024	10.1073/pnas.2322157121	PNAS	2024		AF3 (if -missing_data, >1 group);AF17 (if raw un-demeaned data, mean >> sigma)	Evolutionarily conserved neural responses to affective touch in monkeys transcend consciousness and change with age.
PMC10998591	10.1073/pnas.2314918121	PNAS	2024			Subcallosal cingulate deep brain stimulation evokes two distinct cortical responses via differential white matter activation.
