subj motion
sub-50004 0.70036
sub-50005 0.19845
sub-50006 0.37556
sub-50007 0.06678
sub-50010 0.18991
sub-50013 0.13770
sub-50014 0.15949
sub-50015 0.09033
sub-50016 0.28163
sub-50021 0.05717
sub-50023 0.09779
sub-50025 0.16355
sub-50027 0.18100
sub-50029 0.45051
sub-50032 0.29816
sub-50033 0.16745
sub-50034 0.08922
sub-50035 0.15342
sub-50036 0.15001
sub-50038 0.14659
sub-50043 0.09825
sub-50047 0.14503
sub-50048 0.19906
sub-50049 0.19794
sub-50050 0.13732
sub-50051 0.08856
sub-50052 0.31061
sub-50053 0.10186
sub-50054 0.14948
sub-50055 0.14665
sub-50056 0.15790
sub-50058 0.24813
sub-50059 0.20947
sub-50060 0.21897
sub-50061 0.25418
sub-50064 0.19427
sub-50066 0.14767
sub-50067 0.18232
sub-50069 0.04258
sub-50073 0.07162
sub-50075 0.15624
sub-50076 0.19759
sub-50077 0.10995
sub-50080 0.08479
sub-50081 0.08571
sub-50083 0.18573
sub-50085 0.13757
sub-10159 0.10398
sub-10217 0.07948
sub-10235 0.15781
sub-10290 0.20575
sub-10292 0.12715
sub-10304 0.07322
sub-10321 0.14884
sub-10325 0.04881
sub-10329 0.12296
sub-10340 0.10090
sub-10356 0.12425
sub-10365 0.08085
sub-10376 0.11524
sub-10388 0.08436
sub-10429 0.29264
sub-10440 0.05769
sub-10487 0.11161
sub-10492 0.05228
sub-10517 0.06676
sub-10525 0.08267
sub-10527 0.15434
sub-10530 0.06459
sub-10557 0.06610
sub-10570 0.13197
sub-10575 0.12975
sub-10624 0.10348
sub-10629 0.11039
sub-10631 0.05341
sub-10638 0.09632
sub-10668 0.05348
sub-10672 0.06250
sub-10678 0.08050
sub-10680 0.10467
sub-10696 0.07062
sub-10708 0.09766
sub-10724 0.07288
sub-10762 0.05289
sub-10779 0.08261
sub-10785 0.09281
sub-10877 0.07308
sub-10882 0.20075
sub-10912 0.10713
sub-10940 0.07970
sub-10949 0.15969
sub-10968 0.10051
sub-10975 0.14435
sub-10977 0.20761
sub-11019 0.14267
sub-11050 0.22530
sub-11059 0.08497
sub-11066 0.08531
sub-11077 0.07118
sub-11088 0.06755
sub-11097 0.10422
sub-11098 0.03719
sub-11104 0.11452
sub-11105 0.05416
sub-11112 0.06834
sub-11131 0.07935
sub-11143 0.05238
