subj errsd
sub-50004 0.658655
sub-50005 0.383359
sub-50006 0.493928
sub-50007 0.320491
sub-50010 0.354766
sub-50013 0.380761
sub-50014 0.400842
sub-50015 0.382912
sub-50016 0.392836
sub-50021 0.265456
sub-50023 0.342414
sub-50025 0.327484
sub-50027 0.321052
sub-50029 0.341914
sub-50032 0.499013
sub-50033 0.350561
sub-50034 0.302606
sub-50035 0.365687
sub-50036 0.300618
sub-50038 0.287494
sub-50043 0.321741
sub-50047 0.317593
sub-50048 0.371279
sub-50049 0.467234
sub-50050 0.367621
sub-50051 0.262451
sub-50052 0.383811
sub-50053 0.331396
sub-50054 0.367024
sub-50055 0.362248
sub-50056 0.298534
sub-50058 0.323304
sub-50059 0.335317
sub-50060 0.301923
sub-50061 0.363169
sub-50064 0.379265
sub-50066 0.327424
sub-50067 0.356131
sub-50069 0.309623
sub-50073 0.285723
sub-50075 0.391959
sub-50076 0.388049
sub-50077 0.355523
sub-50080 0.359167
sub-50081 0.319116
sub-50083 0.327428
sub-50085 0.353852
sub-10159 0.311208
sub-10217 0.283206
sub-10235 0.4372
sub-10290 0.384283
sub-10292 0.312137
sub-10304 0.322335
sub-10321 0.330903
sub-10325 0.289845
sub-10329 0.325773
sub-10340 0.30781
sub-10356 0.319881
sub-10365 0.329449
sub-10376 0.284616
sub-10388 0.307403
sub-10429 0.375291
sub-10440 0.291087
sub-10487 0.355043
sub-10492 0.273475
sub-10517 0.31299
sub-10525 0.326684
sub-10527 0.414418
sub-10530 0.296418
sub-10557 0.34685
sub-10570 0.303651
sub-10575 0.319137
sub-10624 0.400596
sub-10629 0.361156
sub-10631 0.317913
sub-10638 0.338954
sub-10668 0.271273
sub-10672 0.299736
sub-10678 0.340963
sub-10680 0.293466
sub-10696 0.317364
sub-10708 0.374357
sub-10724 0.285031
sub-10762 0.28729
sub-10779 0.347961
sub-10785 0.28956
sub-10877 0.371132
sub-10882 0.327572
sub-10912 0.276566
sub-10940 0.315763
sub-10949 0.403207
sub-10968 0.36702
sub-10975 0.354961
sub-10977 0.476582
sub-11019 0.313592
sub-11050 0.360942
sub-11059 0.30708
sub-11066 0.278233
sub-11077 0.325824
sub-11088 0.32297
sub-11097 0.358759
sub-11098 0.315162
sub-11104 0.370782
sub-11105 0.303502
sub-11112 0.305277
sub-11131 0.269354
sub-11143 0.310013
