featureCounts 2.0.6 | seed 1 | fragments per file 400
annotation: 49 genes, 115 exon lines

== SE: 622 records, 400 fragments/records
[default] (defaults): summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-O] -O: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-s 1] -s 1: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-s 2] -s 2: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-M] -M: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-M --fraction] -M --fraction: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--primary] --primary: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-M --primary] -M --primary: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-O --fraction] -O --fraction: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-M -O --fraction] -O -M --fraction: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-Q 10] -Q 10: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-Q 30 -s 2] -s 2 -Q 30: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--ignoreDup] --ignoreDup: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--splitOnly] --splitOnly: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--nonSplitOnly] --nonSplitOnly: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--minOverlap 10] --minOverlap 10: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--fracOverlap 0.5] --fracOverlap 0.5: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--fracOverlap 1] --fracOverlap 1.0: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--largestOverlap] --largestOverlap: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-O --largestOverlap] -O --largestOverlap: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--nonOverlap 5] --nonOverlap 5: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--fracOverlapFeature 0.5] --fracOverlapFeature 0.5: summary total 622 vs 622 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
