test	outcome	seconds	walltime	mem	message
test_bug103	FAIL	3	00:10:00	1gb	'nanmean' undefined near line 443, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ ft_singleplotER.m:443
test_bug1014	PASS	4	00:10:00	1gb	
test_bug1029	FAIL	4	00:10:00	1gb	'bem_Cii_lin' undefined near line 177, column 10 @ forward/ft_headmodel_bemcp.m:177
test_bug1041	FAIL	2	00:10:00	1gb	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_bug1042	FAIL	4	00:45:00	1gb	'bem_Cii_lin' undefined near line 177, column 10 @ forward/ft_headmodel_bemcp.m:177
test_bug1067	PASS	4	00:10:00	1gb	
test_bug1153	FAIL	1	00:10:00	1gb	mx_el_and: nonconformant arguments (op1 is 1x2, op2 is 1x3) @ fileio/private/ft_senstype.m:444
test_bug1162	FAIL	2	00:10:00	1gb	invalid function handle, unable to find function for @nanmean @ ft_timelockgrandaverage.m:176
test_bug1163	PASS	1	00:10:00	1gb	
test_bug1149	PASS	5	00:10:00	1gb	
test_bug1166	FAIL	2	00:10:00	1gb	there is no dipoli executable for your platform @ forward/ft_headmodel_dipoli.m:192
test_bug1227	FAIL	1	00:10:00	1gb	zstream.c not compiled - see Makefile @ external/gifti/@gifti/private/zstream.m:25
test_bug1232	PASS	2	00:10:00	1gb	
test_bug1248	FAIL	2	00:10:00	1gb	'nanmean' undefined near line 150, column 14  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ private/preproc.m:150
test_bug1168	FAIL	8	00:10:00	1gb	get: invalid default property 'colormap' @ ft_multiplotTFR.m:550
test_bug1270	FAIL	3	00:10:00	1gb	'nanmean' undefined near line 443, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ ft_singleplotER.m:443
test_bug1309	FAIL	1	00:15:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug131	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug1318	FAIL	1	00:10:00	1gb	'nanmean' undefined near line 156, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ preproc/ft_preproc_bandpassfilter.m:156
test_bug1368	FAIL	2	00:20:00	1gb	OpenMEEG not found @ external/openmeeg/om_checkombin.m:94
test_bug1389	FAIL	2	00:10:00	1gb	'nanmean' undefined near line 150, column 14  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ private/preproc.m:150
test_bug1405	PASS	2	00:10:00	1gb	
test_bug1357	FAIL	9	00:10:00	1gb	'nanmean' undefined near line 443, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ ft_singleplotER.m:443
test_bug1409	PASS	2	00:10:00	1gb	
test_bug1416	PASS	1	00:10:00	1gb	
test_bug1425	PASS	3	00:10:00	1gb	
test_bug1450	PASS	1	00:10:00	1gb	
test_bug1482	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug1502	PASS	1	00:10:00	1gb	
test_bug1508	FAIL	2	00:10:00	1gb	test doesn't result in expected error message @ test/test_bug1508.m:30
test_bug1514	PASS	2	00:10:00	1gb	
test_bug1529	FAIL	2	00:10:00	1gb	'nanmean' undefined near line 314, column 7  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ plotting/ft_plot_slice.m:314
test_bug1556	FAIL	6	00:10:00	1gb	'nanmean' undefined near line 136, column 10  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ statfun/ft_statfun_depsamplesFunivariate.m:136
