test	outcome	seconds	walltime	mem	category	message
test_bug1029	FAIL	3	00:10:00	1gb	mex	'bem_Cii_lin' undefined near line 177, column 10 @ forward/ft_headmodel_bemcp.m:177
test_bug103	PASS	3	00:10:00	1gb	pass	
test_bug1041	FAIL	2	00:10:00	1gb	dpss-hack	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_bug1042	FAIL	3	00:45:00	1gb	mex	'bem_Cii_lin' undefined near line 177, column 10 @ forward/ft_headmodel_bemcp.m:177
test_bug1153	FAIL	2	00:10:00	1gb	octave-difference	cannot determine whether "endsample" should be interpreted as true or false @ utilities/istrue.m:36
test_bug1162	PASS	2	00:10:00	1gb	pass	
test_bug1166	FAIL	2	00:10:00	1gb	external	there is no dipoli executable for your platform @ forward/ft_headmodel_dipoli.m:192
test_bug1168	FAIL	8	00:10:00	1gb	graphics	get: invalid default property 'colormap' @ ft_multiplotTFR.m:550
test_bug1227	FAIL	1	00:10:00	1gb	mex	zstream.c not compiled - see Makefile @ external/gifti/@gifti/private/zstream.m:25
test_bug1248	PASS	22	00:10:00	1gb	pass	
test_bug1270	PASS	3	00:10:00	1gb	pass	
test_bug1309	FAIL	1	00:15:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug131	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug1318	PASS	1	00:10:00	1gb	pass	
test_bug1357	FAIL	8	00:10:00	1gb	octave-difference	horizontal dimensions mismatch (1x1 vs 151x0) @ plotting/ft_plot_vector.m:290
test_bug1368	FAIL	2	00:20:00	1gb	external	OpenMEEG not found @ external/openmeeg/om_checkombin.m:94
test_bug1389	PASS	3	00:10:00	1gb	pass	
test_bug1408	PASS	54	00:10:00	2gb	pass	
test_bug1482	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug1508	FAIL	2	00:10:00	1gb	octave-difference	test doesn't result in expected error message @ test/test_bug1508.m:30
test_bug1529	FAIL	2	00:10:00	1gb	octave-difference	surface: Z and C must have the same size @ ../../../../../../usr/share/octave/8.4.0/m/plot/draw/surface.m:103
test_bug1556	PASS	6	00:10:00	1gb	pass	
test_bug1561	PASS	2	00:10:00	1gb	pass	
test_bug1658	FAIL	1	00:20:00	2gb	matlab-only	'strip' undefined near line 63, column 23  The 'strip' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/dccnpath.m:63
test_bug1677	PASS	4	00:10:00	1gb	pass	
test_bug1729	FAIL	2	00:10:00	1gb	graphics	octave_base_value::int_value (): wrong type argument 'sq_string' @ ft_singleplotTFR.m:444
test_bug1742	FAIL	1	00:10:00	1gb	matlab-only	nargout: number of output arguments unavailable for built-in function objects @ qsub/qsubcellfun.m:216
test_bug1775	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug1820	FAIL	3	04:30:00	10gb	matlab-only	'pad' undefined near line 1861, column 43  The 'pad' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/ft_checkdata.m:1861
test_bug1832	FAIL	5	00:20:00	1gb	mex	mat2file.c not compiled - see Makefile @ external/spm12/@file_array/private/mat2file.m:15
