pmcid	doi	journal	year	version	exposure_groups	commands	features	title
PMC13190288	10.1038/s41586-026-10345-6	Nature	2026	7.3.2	roi_morphometry;surface_recon		brain extraction/skullstrip;cortical thickness	Population-scale repeat expansions elucidate disease risk and brain atrophy.
PMC13148990	10.1038/s41586-026-10267-3	Nature	2026					Rapid concerted switching of the neural code in the inferotemporal cortex.
PMC13017517	10.1038/s41586-025-10059-1	Nature	2026	6.0.0	registration_sampling;roi_morphometry		functional preprocessing (FS-FAST);parcellation (aparc/atlas);surface-based registration	Parkinson's disease as a somato-cognitive action network disorder.
PMC12727522	10.1038/s41586-025-09748-8	Nature	2026		roi_morphometry;surface_recon		manual edits/QC;parcellation (aparc/atlas);surface reconstruction	Shared and language-specific phonological processing in the human temporal lobe.
PMC12711564	10.1038/s41586-025-09708-2	Nature	2025	7.0	aseg_volumes;roi_morphometry;surface_recon	SynthSeg	cortical thickness;manual edits/QC;parcellation (aparc/atlas);subcortical segmentation (aseg);surface reconstruction	A probabilistic histological atlas of the human brain for MRI segmentation.
PMC12367542	10.1038/s41586-025-09250-1	Nature	2025		registration_sampling;roi_morphometry		boundary-based registration;parcellation (aparc/atlas);surface-based registration	Longer scans boost prediction and cut costs in brain-wide association studies.
PMC12137136	10.1038/s41586-025-08888-1	Nature	2025	6.0.1	registration_sampling;roi_morphometry;surface_recon		parcellation (aparc/atlas);surface reconstruction;surface-based registration	Adversarial testing of global neuronal workspace and integrated information theories of consciousness.
PMC11821539	10.1038/s41586-024-08361-5	Nature	2025		roi_morphometry		amygdala nuclei;parcellation (aparc/atlas)	Specification of claustro-amygdalar and palaeocortical neurons and circuits.
PMC11655360	10.1038/s41586-024-08260-9	Nature	2024	6.1	aseg_volumes;roi_morphometry;surface_recon	recon-all	cortical thickness;cortical volume;parcellation (aparc/atlas);subcortical segmentation (aseg);surface area	Study design features increase replicability in brain-wide association studies.
PMC11410656	10.1038/s41586-024-07805-2	Nature	2024	4.3	registration_sampling;roi_morphometry;surface_recon	bbregister	boundary-based registration;brain extraction/skullstrip;parcellation (aparc/atlas);surface area	Frontostriatal salience network expansion in individuals in depression.
PMC11291293	10.1038/s41586-024-07624-5	Nature	2024		aseg_volumes;group_glm;roi_morphometry;surface_recon		cortical volume;group GLM (mri_glmfit);parcellation (aparc/atlas);subcortical segmentation (aseg)	Psilocybin desynchronizes the human brain.
PMC11078732	10.1038/s41586-024-07309-z	Nature	2024					Control of working memory by phase-amplitude coupling of human hippocampal neurons.
PMC10866697	10.1038/s41586-023-06982-w	Nature	2024	7.4.1				Single-neuronal elements of speech production in humans.
PMC10700136	10.1038/s41586-023-06802-1	Nature	2023	5.3	aseg_volumes;group_glm;registration_sampling;roi_morphometry;surface_recon		brain extraction/skullstrip;cortical thickness;cortical volume;group GLM (mri_glmfit);parcellation (aparc/atlas);subcortical segmentation (aseg);surface area;surface reconstruction;surface-based registration	Organ aging signatures in the plasma proteome track health and disease.
PMC10266981	10.1038/s41586-023-06098-1	Nature	2023		registration_sampling;roi_morphometry;surface_recon		myelin/T1w-T2w ratio;parcellation (aparc/atlas);surface reconstruction;surface-based registration	Geometric constraints on human brain function.
PMC10172144	10.1038/s41586-023-05964-2	Nature	2023	6.2	roi_morphometry;surface_recon		cortical thickness;parcellation (aparc/atlas);surface reconstruction	A somato-cognitive action network alternates with effector regions in motor cortex.
PMC8991999	10.1038/s41586-022-04492-9	Nature	2022		group_glm;registration_sampling;roi_morphometry;surface_recon		brain extraction/skullstrip;cortical thickness;group GLM (mri_glmfit);surface-based registration	Reproducible brain-wide association studies require thousands of individuals.
PMC9046077	10.1038/s41586-022-04569-5	Nature	2022		aseg_volumes;group_glm;roi_morphometry;surface_recon		cortical thickness;cortical volume;group GLM (mri_glmfit);parcellation (aparc/atlas);subcortical segmentation (aseg);surface area	SARS-CoV-2 is associated with changes in brain structure in UK Biobank.
PMC12286656	10.1126/science.adt3971	Science	2025	6.0.0	aseg_volumes;registration_sampling;roi_morphometry;surface_recon	bbregister;recon-all	boundary-based registration;manual edits/QC;parcellation (aparc/atlas);subcortical segmentation (aseg);surface reconstruction;surface-based registration	Conserved brain-wide emergence of emotional response from sensory experience in humans and mice.
PMC13321129	10.1073/pnas.2530123123	PNAS	2026				brain extraction/skullstrip	Individual differences in speech monitoring: Functional and structural correlates of delayed auditory feedback.
PMC13187733	10.1073/pnas.2521055123	PNAS	2026		aseg_volumes;roi_morphometry;surface_recon		cortical thickness;cortical volume;parcellation (aparc/atlas);subcortical segmentation (aseg);surface area	Empirical validation of race-neutral normative brain morphometry models across ethnoracially diverse populations.
PMC13142984	10.1073/pnas.2526239123	PNAS	2026	7.4	registration_sampling;roi_morphometry;surface_recon		boundary-based registration;parcellation (aparc/atlas);surface area	Quantitative assessment of flow between cerebrospinal and interstitial fluid compartments in humans.
PMC12818569	10.1073/pnas.2503388123	PNAS	2026		hipposf;registration_sampling;roi_morphometry	mri_vol2surf	boundary-based registration;brain extraction/skullstrip;hippocampal subfields;parcellation (aparc/atlas)	Distinct contributions of hippocampal pathways in learning regularities and exceptions revealed by functional footprints.
PMC12745750	10.1073/pnas.2512665122	PNAS	2025					Cortical tracking of sign language: The role of language knowledge in tracking of different articulators.
PMC12595413	10.1073/pnas.2520067122	PNAS	2025	7.1.1	aseg_volumes;registration_sampling;roi_morphometry;surface_recon	bbregister;recon-all	boundary-based registration;cortical volume;parcellation (aparc/atlas);subcortical segmentation (aseg);surface reconstruction;surface-based registration	Parallel systems for social and spatial cognition reaching the cortical apex.
PMC12595489	10.1073/pnas.2518523122	PNAS	2025	6.0.0	roi_morphometry		parcellation (aparc/atlas)	Automaticity speeds the retrieval of instances from the human hippocampus.
PMC12595415	10.1073/pnas.2420188122	PNAS	2025	7.2.0	hipposf;roi_morphometry		hippocampal subfields;parcellation (aparc/atlas)	Decreased hippocampal neurite density in late-middle-aged adults following prenatal exposure to higher levels of maternal inflammation.
PMC12377651	10.1073/pnas.2421528122	PNAS	2025		registration_sampling	bbregister	boundary-based registration;brain extraction/skullstrip	Familial transmission of neural representations for mental arithmetic across two generations.
PMC12260544	10.1073/pnas.2502021122	PNAS	2025	6.2				Action-mode subnetworks for decision-making, action control, and feedback.
PMC12207432	10.1073/pnas.2423560122	PNAS	2025		roi_morphometry		parcellation (aparc/atlas)	The brain computes dynamic facial movements for emotion categorization using a third pathway.
PMC12207422	10.1073/pnas.2422281122	PNAS	2025	7.1	group_glm;registration_sampling;roi_morphometry;surface_recon		cortical thickness;group GLM (mri_glmfit);manual edits/QC;surface area;surface-based registration	Linking pregnancy- and birth-related risk factors to a multivariate fusion of child cortical structure.
PMC12184337	10.1073/pnas.2414598122	PNAS	2025	7.3	roi_morphometry;surface_recon		cortical thickness;manual edits/QC;parcellation (aparc/atlas);surface area;surface reconstruction	Longitudinal trajectories of brain development from infancy to school age and their relationship with literacy development.
