WORKER 0 DONE Fri Sep  4 20:59:35 UTC 2026
[ERN 1 prefix] [A] ERN sub 1: 398 trials (correct=346, error=52), 256 samples at 256 Hz, timeOnset -0.601562
[ERN 1 prefix] [B] ERN sub 1 prefix: bad samples 927, trials with bad 12, bad channels 0 (), rejected trials 12
[ERN 1 merged] [B] ERN sub 1 merged: bad samples 18754, trials with bad 81, bad channels 0 (), rejected trials 81
WORKER 1 DONE Fri Sep  4 21:05:43 UTC 2026
[ERN 2 prefix] [A] ERN sub 2: 400 trials (correct=384, error=16), 256 samples at 256 Hz, timeOnset -0.601562
[ERN 2 prefix] [B] ERN sub 2 prefix: bad samples 296, trials with bad 2, bad channels 0 (), rejected trials 2
[ERN 2 merged] [B] ERN sub 2 merged: bad samples 4087, trials with bad 19, bad channels 0 (), rejected trials 19
WORKER 2 DONE Fri Sep  4 21:07:30 UTC 2026
[ERN 3 prefix] [A] ERN sub 3: 396 trials (correct=353, error=43), 256 samples at 256 Hz, timeOnset -0.601562
[ERN 3 prefix] [B] ERN sub 3 prefix: bad samples 1069, trials with bad 7, bad channels 0 (), rejected trials 7
[ERN 3 merged] [B] ERN sub 3 merged: bad samples 319573, trials with bad 396, bad channels 2 (FP1,FP2), rejected trials 328
[ERN 4 prefix] [A] ERN sub 4: 390 trials (correct=324, error=66), 256 samples at 256 Hz, timeOnset -0.601562
[ERN 4 prefix] [B] ERN sub 4 prefix: bad samples 1968, trials with bad 11, bad channels 0 (), rejected trials 11
[ERN 4 merged] [B] ERN sub 4 merged: bad samples 265534, trials with bad 390, bad channels 2 (FP1,FP2), rejected trials 381
[ERN 5 prefix] [A] ERN sub 5: 400 trials (correct=398, error=2), 256 samples at 256 Hz, timeOnset -0.601562
[ERN 5 prefix] [B] ERN sub 5 prefix: bad samples 3799, trials with bad 45, bad channels 0 (), rejected trials 45
[ERN 5 merged] [B] ERN sub 5 merged: bad samples 68558, trials with bad 319, bad channels 0 (), rejected trials 316
[ERN 6 prefix] [A] ERN sub 6: 240 trials (correct=181, error=59), 256 samples at 256 Hz, timeOnset -0.601562
[ERN 6 prefix] [B] ERN sub 6 prefix: bad samples 1865, trials with bad 15, bad channels 0 (), rejected trials 15
[ERN 6 merged] [B] ERN sub 6 merged: bad samples 31671, trials with bad 129, bad channels 0 (), rejected trials 129
[ERN 7 prefix] [A] ERN sub 7: 400 trials (correct=386, error=14), 256 samples at 256 Hz, timeOnset -0.601562
[ERN 7 prefix] [B] ERN sub 7 prefix: bad samples 0, trials with bad 0, bad channels 0 (), rejected trials 0
[ERN 7 merged] [B] ERN sub 7 merged: bad samples 79988, trials with bad 272, bad channels 0 (), rejected trials 272
[ERN 8 prefix] [A] ERN sub 8: 391 trials (correct=345, error=46), 256 samples at 256 Hz, timeOnset -0.601562
[ERN 8 prefix] [B] ERN sub 8 prefix: bad samples 375, trials with bad 6, bad channels 0 (), rejected trials 6
[ERN 8 merged] [B] ERN sub 8 merged: bad samples 285614, trials with bad 391, bad channels 2 (FP1,FP2), rejected trials 362
[ERN 9 prefix] [A] ERN sub 9: 400 trials (correct=392, error=8), 256 samples at 256 Hz, timeOnset -0.601562
[ERN 9 prefix] [B] ERN sub 9 prefix: bad samples 1444, trials with bad 15, bad channels 0 (), rejected trials 15
[ERN 9 merged] [B] ERN sub 9 merged: bad samples 247827, trials with bad 400, bad channels 2 (FP1,FP2), rejected trials 370
[ERN 10 prefix] [A] ERN sub 10: 397 trials (correct=323, error=74), 256 samples at 256 Hz, timeOnset -0.601562
[ERN 10 prefix] [B] ERN sub 10 prefix: bad samples 21, trials with bad 2, bad channels 0 (), rejected trials 2
[ERN 10 merged] [B] ERN sub 10 merged: bad samples 51507, trials with bad 232, bad channels 0 (), rejected trials 232
[ERN 11 prefix] [A] ERN sub 11: 400 trials (correct=369, error=31), 256 samples at 256 Hz, timeOnset -0.601562
