sub	ntrials	bad_pre	bad_post	jaccard	excluded_frac	clean_frac	trials_bad_pre	trials_bad_post	rej_pre	rej_post	n_error_pre	n_correct_pre	n_error_post	n_correct_post	n_windows	windows_lost_frac	windows_partial_frac	badchan_pre	badchan_post	badchan_differs	plain_pre	plain_post	plain_rms_change	robust_pre	robust_post	robust_rms_change
1	398	927	18754	0.04281	0.04308	0.1284	12	81	12	81	51	335	44	273	334	0.9102	0.01796			0	-11.57	-10.13	0.3639	-8.791	-8.791	0.01836
2	400	296	4087	0.06332	0.06386	0.1182	2	19	2	19	16	382	14	367	76	0.8684	0.01316			0	-4.283	-6.268	0.3715	-4.408	-4.423	0.004962
3	396	1069	319573	0.002063	0.002065	0.3826	7	396	7	328	42	347	0	68	3048	0.9895	0		FP1,FP2	1	-25.03	-8.115	2.668	-19.5	-15.76	0.6647
4	390	1968	265534	0.005431	0.005442	0.2658	11	390	11	381	64	315	0	9	2087	0.9703	0.002396		FP1,FP2	1	-20.69	-7.86	1.143	-17.4	-17.38	0.006482
5	400	3799	68558	0.03577	0.03645	0.3422	45	319	45	316	2	353	0	84	1175	0.9123	0.0434			0	-11.51	-0.2998	3.916	-7.792	-7.758	0.2281
6	240	1865	31671	0.04984	0.05027	0.1464	15	129	15	129	56	169	11	100	605	0.9157	0.01653			0	-7.551	-12.61	0.4078	-6.8	-6.757	0.02974
7	400	0	79988	0	0	nan	0	272	0	272	14	386	14	114	1808	1	0			0	-14.55	-11.68	0.4801	-8.203	-8.162	0.04424
8	391	375	285614	0.001169	0.001169	0.1093	6	391	6	362	46	339	0	29	2534	0.9961	0.001973		FP1,FP2	1	-21.63	-8.327	2.727	-19.61	-19.58	0.5298
9	400	1444	247827	0.005024	0.005028	0.1371	15	400	15	370	8	377	3	27	1420	0.9711	0.0162		FP1,FP2	1	-17.34	-8.017	1.13	-14.56	-14.56	0.0328
10	397	21	51507	0.0004077	0.0004077	0	2	232	2	232	74	321	27	138	1039	0.9981	0.0009625			0	-5.759	-7.356	0.5092	-4.716	-4.716	0.0354
11	400	400	42649	0.008646	0.008652	0.0775	2	272	2	272	31	367	15	113	858	0.9848	0			0	-7.68	-2.212	1.3	-6.057	-6.035	0.03726
12	392	324	6379	0.04685	0.04703	0.07407	7	26	7	26	67	318	59	307	105	0.9048	0.01905			0	-5.738	-5.671	0.1982	-5.955	-5.955	0.00331
13	394	240	32145	0.00587	0.00588	0.2125	4	286	4	286	71	319	0	108	729	0.9904	0.001372			0	-5.972	-15.93	0.608	-5.506	-5.506	0.02488
14	400	1712	37364	0.03261	0.03303	0.2792	11	196	11	196	12	377	9	195	751	0.9294	0.006658			0	-8.435	-2.819	1.702	-5.874	-5.866	0.0769
15	396	563	10990	0.04685	0.04704	0.08171	2	61	2	61	46	348	40	295	224	0.9107	0			0	-21.95	-22.13	0.09055	-15.71	-15.7	0.005997
16	400	106	5059	0.01195	0.01206	0.4245	4	39	4	39	46	350	44	317	113	0.9558	0			0	-20.59	-19.78	0.1026	-14.81	-14.81	0.006781
17	400	38	37280	0	0	1	1	328	1	328	19	380	12	60	840	0.9976	0			0	-12.35	-9.058	1.358	-10.94	-10.94	0.3062
18	400	833	251726	0.002692	0.002693	0.1861	15	400	15	386	60	325	3	11	1688	0.9828	0.003555		FP1,FP2	1	-9.846	-7.28	0.8734	-9.535	-9.53	0.1125
19	400	0	7917	0	0	nan	0	91	0	91	14	386	13	296	152	1	0			0	-7.314	-6.954	0.4639	-6.635	-6.635	0.003498
20	400	1419	20942	0.06491	0.06508	0.03946	4	73	4	73	10	386	10	317	397	0.8917	0.002519			0	-13.17	-12.87	0.04945	-9.074	-9.078	0.008272
21	400	120	81194	0.0008	0.0008006	0.4583	4	207	4	207	53	343	15	178	1674	0.997	0			0	-10.98	-3.763	4.039	-3.121	-2.944	0.1338
22	395	0	1854	0	0	nan	0	25	0	25	63	332	54	316	51	1	0			0	-9.02	-7.979	0.1797	-6.629	-6.629	0.002597
23	397	328	301449	0.001085	0.001085	0.003049	3	397	3	372	24	370	0	25	2630	0.9958	0.0007605		FP1,FP2	1	-18.25	-9.24	1.58	-15.31	-15.02	0.2033
24	400	127	24629	0.005157	0.005157	0	1	183	1	183	30	369	6	211	499	0.994	0			0	-11.04	-7.875	0.6983	-8.819	-8.796	0.09756
25	399	2449	50152	0.02548	0.02606	0.4663	9	216	9	216	19	371	8	175	856	0.9463	0.001168			0	-3.934	2.304	1.657	-0.7145	-0.6673	0.9554
26	400	71	23070	0.002686	0.002687	0.1268	2	109	2	108	30	368	2	290	437	0.9931	0.002288			0	-30.86	-31.94	0.5031	-18.84	-18.82	0.009795
27	398	285	14907	0.01132	0.0114	0.4035	4	95	4	95	83	311	52	251	279	0.9642	0			0	-8.731	-8.462	0.2823	-7.454	-7.45	0.02601
28	398	173	17096	0.001624	0.001638	0.8382	4	109	4	109	41	353	30	259	380	0.9842	0			0	-10.68	-12.85	0.201	-8.152	-8.152	0.00591
29	398	905	30555	0.02476	0.02487	0.1602	8	149	8	148	44	346	41	209	559	0.9678	0.008945			0	-7.987	-6.519	0.7088	-5.348	-5.328	0.06077
30	396	5613	328754	0.01126	0.01133	0.3365	47	396	47	327	63	286	14	55	2916	0.9434	0.004115		FP1,FP2	1	-12.81	-14.8	0.7262	-11.95	-11.53	0.1389
31	400	31	16102	0	0	1	3	140	3	140	36	361	16	244	404	0.9926	0.002475			0	-1.947	-2.133	0.4157	-1.416	-1.416	0.01494
32	400	295	258098	0.001077	0.001077	0.05763	4	400	4	376	54	342	7	17	1674	0.9964	0.001195		FP1,FP2	1	-17.49	-8.527	2.14	-13.16	-13.16	0.04301
33	399	38	24445	0	0	1	1	198	1	198	17	381	17	184	552	0.9982	0			0	-1.174	-1.372	0.157	-0.5551	-0.5462	0.002833
