sub	ntrials	bad_pre	bad_post	jaccard	excluded_frac	clean_frac	trials_bad_pre	trials_bad_post	rej_pre	rej_post	n_target_pre	n_standard_pre	n_target_post	n_standard_post	n_windows	windows_lost_frac	windows_partial_frac	badchan_pre	badchan_post	badchan_differs	plain_pre	plain_post	plain_rms_change	robust_pre	robust_post	robust_rms_change
1	195	2148	4380	0.3098	0.3525	0.2812	20	23	20	23	34	141	34	138	67	0.3284	0.5373			0	7.215	7.185	0.02013	5.877	5.877	0.01787
2	198	1085	2875	0.2979	0.3162	0.1622	5	7	5	7	39	154	39	152	46	0.3043	0.6304			0	18.05	18.3	0.02264	16.7	16.7	0.003933
4	177	35242	134553	0.1765	0.1893	0.2773	165	177	165	175	7	5	1	1	1043	0.0767	0.8859		FP1,FP2	1	1.553	8.956	0.8587	1.66	1.683	0.4874
5	194	25966	119194	0.1723	0.179	0.1784	144	194	142	174	8	44	4	16	648	0.2284	0.5077		FP1,FP2	1	6.15	0.5738	1.349	3.808	3.808	0.1283
6	102	17826	27623	0.3869	0.459	0.2887	56	58	48	49	5	49	4	49	344	0.1017	0.6919			0	1.85	5.617	0.4976	-3.303	-3.309	0.4176
7	193	41390	105862	0.153	0.1846	0.5278	125	193	125	139	25	43	23	31	1082	0.1137	0.6691		FP1	1	12.55	11.15	0.1822	2.72	2.713	1.879
8	154	43061	111919	0.1494	0.18	0.5321	126	154	126	130	5	23	2	22	911	0.04391	0.3535		FP1,FP2	1	0.1382	1.03	0.7264	4.708	4.708	1.009
9	183	129320	239129	0.3692	0.4155	0.2317	183	183	172	182	1	10	0	1	2025	0.1714	0.4741	PO8	FP1,FP2,PO8	1	14.69	40.28	0.7792	13.18	12.62	0.3839
10	151	17166	33111	0.2723	0.325	0.3731	88	102	88	102	5	58	4	45	496	0.1875	0.6875			0	6.332	4.572	0.7039	5.277	5.278	0.3271
11	199	19158	33167	0.1568	0.2139	0.6297	176	191	176	191	6	17	1	7	590	0.1339	0.6017			0	11.46	4.75	0.951	3.099	3.09	0.4579
12	183	2762	5571	0.4841	0.4879	0.01593	7	10	7	10	28	148	28	145	70	0.3429	0.6571			0	8.199	8.499	0.05425	6.55	6.55	0.01295
13	170	7390	11010	0.05089	0.08093	0.8794	82	92	81	92	13	76	11	67	235	0.08511	0.6255			0	3.809	3.082	0.5053	3.513	3.513	0.2537
