pmcid	pmid	doi	journal	year	title	n_oss_packages	packages	pipeline
PMC7574718	33147444	10.1016/j.cell.2020.10.028	Cell	2021	Genome-wide CRISPR Screens Reveal Host Factors Critical for SARS-CoV-2 Infection.	12	BEDTools; Bowtie2; Cutadapt; DESeq2; MACS2; Picard; R; SAMtools; STAR; Trimmomatic; deepTools; featureCounts	read trimming [Picard, STAR, Trimmomatic v0.39] -> alignment/mapping [MACS2, Picard, SAMtools, STAR, Trimmomatic v0.39] -> differential/statistical testing [R, featureCounts v1.6.2] -> stage not stated [BEDTools, Bowtie2 v2.2.9, Cutadapt, DESeq2 v1.32, deepTools v3.1.3]
PMC7584921	33147445	10.1016/j.cell.2020.10.030	Cell	2021	Identification of Required Host Factors for SARS-CoV-2 Infection in Human Cells.	7	Cutadapt; DESeq2; GSEA; R; STAR; Seurat; fgsea	read trimming [Cutadapt v1.13] -> alignment/mapping [STAR] -> stage not stated [DESeq2, GSEA, R, Seurat, fgsea]
PMC7616177	34822784	10.1016/j.cell.2021.11.001	Cell	2021	From structure to clinic: Design of a muscarinic M1 receptor agonist with potential to treatment of Alzheimer's disease.	4	CCP4; EEGLAB; ImageJ; PyMOL	normalisation [CCP4] -> stage not stated [EEGLAB, ImageJ, PyMOL]
PMC7654323	33278358	10.1016/j.cell.2020.11.007	Cell	2021	Baricitinib treatment resolves lower-airway macrophage inflammation and neutrophil recruitment in SARS-CoV-2-infected rhesus macaques.	12	ComplexHeatmap; DESeq2; Docker; FastQC; GSEA; HTSeq; STAR; Seurat; UMAP; ggplot2; scDblFinder; tidyverse	quality control [FastQC] -> alignment/mapping [HTSeq] -> quantification [HTSeq] -> dimensionality reduction/clustering [UMAP] -> visualisation [UMAP] -> stage not stated [ComplexHeatmap, DESeq2 v1.24.0, Docker v1.12.6, GSEA v4.1.0, STAR v2.7.3a, Seurat v3.1.5, ggplot2, scDblFinder v2.0.3, tidyverse]
PMC7666536	33232691	10.1016/j.cell.2020.11.016	Cell	2021	Cryo-EM Structure of an Extended SARS-CoV-2 Replication and Transcription Complex Reveals an Intermediate State in Cap Synthesis.	7	Coot; ImageJ; MotionCor2; PHENIX; PyMOL; RELION; UCSF Chimera	structure determination [Coot] -> stage not stated [ImageJ, MotionCor2, PHENIX, PyMOL, RELION v3.0, UCSF Chimera]
PMC7674007	33275900	10.1016/j.cell.2020.11.020	Cell	2021	Evaluating the Effects of SARS-CoV-2 Spike Mutation D614G on Transmissibility and Pathogenicity.	5	BEAST; IQ-TREE; Nextflow; R; brms	differential/statistical testing [R v3.6] -> stage not stated [BEAST, IQ-TREE, Nextflow, brms v2.13.5]
PMC7674074	33278357	10.1016/j.cell.2020.11.025	Cell	2021	Synergism of TNF-α and IFN-γ Triggers Inflammatory Cell Death, Tissue Damage, and Mortality in SARS-CoV-2 Infection and Cytokine Shock Syndromes.	3	R; Seurat; UMAP	dimensionality reduction/clustering [UMAP] -> stage not stated [R, Seurat]
PMC7723770	33333024	10.1016/j.cell.2020.12.004	Cell	2021	Genetic Screens Identify Host Factors for SARS-CoV-2 and Common Cold Coronaviruses.	2	Cytoscape; R	stage not stated [Cytoscape v3.8.0, R v3.6]
PMC7755577	33476549	10.1016/j.cell.2020.12.027	Cell	2021	Compromised SARS-CoV-2-specific placental antibody transfer.	4	Bioconductor; CellProfiler; Cytoscape; R	differential/statistical testing [Cytoscape v3.8.0] -> stage not stated [Bioconductor, CellProfiler, R v4.0.0]
PMC7794601	33503446	10.1016/j.cell.2021.01.004	Cell	2021	Multi-organ proteomic landscape of COVID-19 autopsies.	4	Cytoscape; GSEA; Metascape; R	alignment/mapping [GSEA] -> differential/statistical testing [GSEA] -> stage not stated [Cytoscape, Metascape, R v3.6.1]
