pmcid	doi	journal	year	versions	findings	title
PMC11087753	10.1073/pnas.2313568121	PNAS	2024	5.3,7.3.0	B11-island-relabel;B13-modefilter-ratchet;B14-v7-medialwall-thickness;B14x-version-mix-thickness-shifts;B4-projfrac-endpoint;B5-fov-edge-zeros;B6-roi-thickavg-zeros;B9-brainvolstats-v6-hires;RN-fsfast-seed-rescale	Impact of repeated blast exposure on active-duty United States Special Operations Forces.
PMC13017517	10.1038/s41586-025-10059-1	Nature	2026	6.0.0	B11-island-relabel;B13-modefilter-ratchet;B4-projfrac-endpoint;B5-fov-edge-zeros;B9-brainvolstats-v6-hires;RN-fsfast-seed-rescale	Parkinson's disease as a somato-cognitive action network disorder.
PMC12207422	10.1073/pnas.2422281122	PNAS	2025	7.1	B1-volcluster-connectivity(if volume-corrected);B11-island-relabel;B13-modefilter-ratchet;B14-v7-medialwall-thickness;B3-csd-pvalue-convention;B6-roi-thickavg-zeros	Linking pregnancy- and birth-related risk factors to a multivariate fusion of child cortical structure.
PMC10945835	10.1073/pnas.2310044121	PNAS	2024	7.1.1	B1-volcluster-connectivity(if volume-corrected);B11-island-relabel;B13-modefilter-ratchet;B14-v7-medialwall-thickness;B3-csd-pvalue-convention;B6-roi-thickavg-zeros	Insights into hippocampal perfusion using high-resolution, multi-modal 7T MRI.
PMC12711564	10.1038/s41586-025-09708-2	Nature	2025	7.0	B11-island-relabel;B13-modefilter-ratchet;B14-v7-medialwall-thickness;B6-roi-thickavg-zeros;RN-v7.0.0-recalled	A probabilistic histological atlas of the human brain for MRI segmentation.
PMC10700136	10.1038/s41586-023-06802-1	Nature	2023	5.3	B1-volcluster-connectivity(if volume-corrected);B11-island-relabel;B13-modefilter-ratchet;B3-csd-pvalue-convention;B6-roi-thickavg-zeros	Organ aging signatures in the plasma proteome track health and disease.
PMC8991999	10.1038/s41586-022-04492-9	Nature	2022		B1-volcluster-connectivity(if volume-corrected);B11-island-relabel;B13-modefilter-ratchet;B3-csd-pvalue-convention;B6-roi-thickavg-zeros	Reproducible brain-wide association studies require thousands of individuals.
PMC9046077	10.1038/s41586-022-04569-5	Nature	2022		B1-volcluster-connectivity(if volume-corrected);B11-island-relabel;B13-modefilter-ratchet;B3-csd-pvalue-convention;B6-roi-thickavg-zeros	SARS-CoV-2 is associated with changes in brain structure in UK Biobank.
PMC10083554	10.1073/pnas.2213880120	PNAS	2023		B1-volcluster-connectivity(if volume-corrected);B11-island-relabel;B13-modefilter-ratchet;B3-csd-pvalue-convention;B6-roi-thickavg-zeros	Large-scale analysis of structural brain asymmetries in schizophrenia via the ENIGMA consortium.
PMC9271154	10.1073/pnas.2116673119	PNAS	2022		B11-island-relabel;B13-modefilter-ratchet;B4-projfrac-endpoint;B5-fov-edge-zeros;B6-roi-thickavg-zeros	Adolescent development of multiscale structural wiring and functional interactions in the human connectome.
PMC8617418	10.1073/pnas.2113095118	PNAS	2021	6.0	B1-volcluster-connectivity(if volume-corrected);B11-island-relabel;B13-modefilter-ratchet;B3-csd-pvalue-convention;B6-roi-thickavg-zeros	Handedness and its genetic influences are associated with structural asymmetries of the cerebral cortex in 31,864 individuals.
PMC13190288	10.1038/s41586-026-10345-6	Nature	2026	7.3.2	B11-island-relabel;B13-modefilter-ratchet;B14-v7-medialwall-thickness;B6-roi-thickavg-zeros	Population-scale repeat expansions elucidate disease risk and brain atrophy.
PMC12367542	10.1038/s41586-025-09250-1	Nature	2025		B11-island-relabel;B13-modefilter-ratchet;B4-projfrac-endpoint;B5-fov-edge-zeros	Longer scans boost prediction and cut costs in brain-wide association studies.
PMC11410656	10.1038/s41586-024-07805-2	Nature	2024	4.3	B11-island-relabel;B13-modefilter-ratchet;B4-projfrac-endpoint;B5-fov-edge-zeros	Frontostriatal salience network expansion in individuals in depression.
PMC11291293	10.1038/s41586-024-07624-5	Nature	2024		B1-volcluster-connectivity(if volume-corrected);B11-island-relabel;B13-modefilter-ratchet;B3-csd-pvalue-convention	Psilocybin desynchronizes the human brain.
PMC10172144	10.1038/s41586-023-05964-2	Nature	2023	6.2	B11-island-relabel;B13-modefilter-ratchet;B6-roi-thickavg-zeros;B9-brainvolstats-v6-hires	A somato-cognitive action network alternates with effector regions in motor cortex.
PMC12286656	10.1126/science.adt3971	Science	2025	6.0.0	B11-island-relabel;B13-modefilter-ratchet;B4-projfrac-endpoint;B5-fov-edge-zeros	Conserved brain-wide emergence of emotional response from sensory experience in humans and mice.
PMC13142984	10.1073/pnas.2526239123	PNAS	2026	7.4	B11-island-relabel;B13-modefilter-ratchet;B4-projfrac-endpoint;B5-fov-edge-zeros	Quantitative assessment of flow between cerebrospinal and interstitial fluid compartments in humans.
PMC12818569	10.1073/pnas.2503388123	PNAS	2026		B11-island-relabel;B13-modefilter-ratchet;B4-projfrac-endpoint;B5-fov-edge-zeros	Distinct contributions of hippocampal pathways in learning regularities and exceptions revealed by functional footprints.
