pmcid	doi	journal	year	version	commands	features	title
PMC13190288	10.1038/s41586-026-10345-6	Nature	2026	6.0.7.8	FAST;FLIRT;FNIRT	linear registration (FLIRT);nonlinear registration (FNIRT);tissue segmentation (FAST)	Population-scale repeat expansions elucidate disease risk and brain atrophy.
PMC13148990	10.1038/s41586-026-10267-3	Nature	2026				Rapid concerted switching of the neural code in the inferotemporal cortex.
PMC13017517	10.1038/s41586-025-10059-1	Nature	2026	6.0			Parkinson's disease as a somato-cognitive action network disorder.
PMC12820784	10.1038/s41586-025-09907-x	Nature	2026				Bidirectional CRISPR screens decode a GLIS3-dependent fibrotic cell circuit.
PMC12893911	10.1038/s41586-025-09854-7	Nature	2026				Gut micro-organisms associated with health, nutrition and dietary interventions.
PMC12711564	10.1038/s41586-025-09708-2	Nature	2025				A probabilistic histological atlas of the human brain for MRI segmentation.
PMC12137136	10.1038/s41586-025-08888-1	Nature	2025	6.0.2	FEAT	task fMRI GLM (FEAT/FILM)	Adversarial testing of global neuronal workspace and integrated information theories of consciousness.
PMC12095069	10.1038/s41586-025-08845-y	Nature	2025				Phase I trial of hES cell-derived dopaminergic neurons for Parkinson's disease.
PMC12074988	10.1038/s41586-025-08705-9	Nature	2025		FEAT;FILM;FLAME;MCFLIRT;MELODIC	GRF cluster correction;ICA (MELODIC);group mixed effects (FLAME);linear registration (FLIRT);motion correction (MCFLIRT);nonlinear registration (FNIRT);task fMRI GLM (FEAT/FILM)	Basis functions for complex social decisions in dorsomedial frontal cortex.
PMC11540853	10.1038/s41586-024-07973-1	Nature	2024		flirt		Human hippocampal and entorhinal neurons encode the temporal structure of experience.
PMC11410656	10.1038/s41586-024-07805-2	Nature	2024	6.0	ICA-AROMA;MCFLIRT;MELODIC;epi_reg;slicetimer;topup	ICA (MELODIC);ICA cleanup (FIX/AROMA);distortion correction (topup/eddy);fieldmap (FUGUE/epi_reg);linear registration (FLIRT);motion correction (MCFLIRT)	Frontostriatal salience network expansion in individuals in depression.
PMC10620088	10.1038/s41586-023-06630-3	Nature	2023			permutation inference (randomise)	Normative spatiotemporal fetal brain maturation with satisfactory development at 2 years.
PMC10550829	10.1038/s41586-023-06541-3	Nature	2023		fsl_anat	TBSS	Cingulate dynamics track depression recovery with deep brain stimulation.
PMC10499606	10.1038/s41586-023-06459-w	Nature	2023		ICA-AROMA;topup	ICA cleanup (FIX/AROMA);diffusion fitting (dtifit/bedpostx);distortion correction (topup/eddy)	An orexigenic subnetwork within the human hippocampus.
PMC10266981	10.1038/s41586-023-06098-1	Nature	2023				Geometric constraints on human brain function.
PMC10172144	10.1038/s41586-023-05964-2	Nature	2023	6.0	FEAT	task fMRI GLM (FEAT/FILM)	A somato-cognitive action network alternates with effector regions in motor cortex.
PMC9433326	10.1038/s41586-022-05118-w	Nature	2022			linear registration (FLIRT)	Brain-phenotype models fail for individuals who defy sample stereotypes.
PMC9328018	10.1038/s41586-022-04985-7	Nature	2022				Akkermansia muciniphila phospholipid induces homeostatic immune responses.
PMC8991999	10.1038/s41586-022-04492-9	Nature	2022		applywarp		Reproducible brain-wide association studies require thousands of individuals.
PMC12286656	10.1126/science.adt3971	Science	2025		flirt;probtrackx;topup	distortion correction (topup/eddy);permutation inference (randomise);tractography (probtrackx/xtract)	Conserved brain-wide emergence of emotional response from sensory experience in humans and mice.
PMC13321360	10.1073/pnas.2531706123	PNAS	2026			distortion correction (topup/eddy)	Metabolism-weighted brain connectome reveals synaptic integration and vulnerability to neurodegeneration.
PMC13167725	10.1073/pnas.2537314123	PNAS	2026	24.0.1			Incentive valence differentially engages open- and closed-loop basal ganglia circuits during movement initiation.
