audit	package	repo	papers	repo_named	other	name_only	other_name	versions	tag_hits	outside	note
freesurfer	FreeSurfer	freesurfer/freesurfer	116	116	0	0		32	28	6.0.1×3, 6.1	
fsl	FSL	-	114	114	0	0		20		(no repository)	
spm	SPM	spm/spm	76	76	0	0		0	0		
afni	AFNI	afni/afni	39	39	0	0		2	1	2016.09.04.1341	
deseq2	DESeq2	thelovelab/DESeq2	886	886	0	0		239		(no version tags in the repository)	
macs2	MACS2	macs3-project/MACS	475	475	0	0		101	98	1.4.3, 2.21, 2.1.6	
kilosort	Kilosort	MouseLand/Kilosort	60	60	0	0		23	23		
fieldtrip	FieldTrip	fieldtrip/fieldtrip	42	42	0	0		1	0	3.5	
suite2p	Suite2p	MouseLand/suite2p	32	32	0	0		0	0		
seurat	Seurat	satijalab/seurat	767	767	0	0		298	275	4.3.0.1×4, 2.3.4×4, 4.2.1×2, 4.1.3, 4.3.0.9002, 4.5, 4.9.9.9040, 4.9.9.9059	
scanpy	Scanpy	scverse/scanpy	200	200	0	0		68	68		
scrublet	-	swolock/scrublet	78	78	0	0		0		(no version tags in the repository)	the survey files doublet tools under one scDblFinder alias group; the audit counted the 78 papers whose evidence names Scrublet, and the name is the program
cellphonedb	CellPhoneDB	ventolab/CellphoneDB	46	46	0	0		8	8		
umap	UMAP	lmcinnes/umap	1111	202	562	347	uwot (Seurat, Monocle, ArchR, Signac)	3	1	0.2.7.0, 3.1	
cutadapt	Cutadapt	marcelm/cutadapt	331	331	0	0		167	164	1.4.2, 1.10.0, 1.11.0	
deeptools	deepTools	deeptools/deepTools	167	167	0	0		69	69		
iqtree	IQ-TREE	iqtree/iqtree3	258	258	0	0		137	132	2.1.4b, 2.07, 2.06, 1.6.1035, 2.1.06	
fastp	fastp	OpenGene/fastp	117	117	0	0		47	38	0.21.0×6, 0.19.41, 0.22.08, 0.21.1	
bedtools	BEDTools	arq5x/bedtools2	302	302	0	0		105	102	2.3.0, 2.17.0, 2.27.168	
htseq	HTSeq	htseq/htseq	161	161	0	0		57	53	0.6.0×2, 0.5.4p, 0.5.3	
plink	PLINK	chrchang/plink-ng	184	184	0	0		94	86	1.07×3, 1.9b×2, 1.09, 1.9.20200712, 1.987	
samtools	SAMtools	samtools/samtools	692	692	0	0		326	319	1.0.0×2, 1.11.0×2, 1.13.0, 1.9.0, 1.1.2	
featurecounts	featureCounts	ShiLab-Bioinformatics/subread	331	331	0	0		117		(no version tags in the repository)	
edger	edgeR	-	318	318	0	0		76		(no repository)	
lme4	lme4	lme4/lme4	312	312	0	0		40		(no version tags in the repository)	
clusterprofiler	clusterProfiler	YuLab-SMU/clusterProfiler	244	244	0	0		71		(no version tags in the repository)	
star	STAR	alexdobin/STAR	489	489	0	0		282	276	2.5.11, 2.2.7a, 2.5.3b, 2.11a, 2.70, 2.70f	
bcftools	BCFtools	samtools/bcftools	202	202	0	0		89	85	1.18.1, 1.31, 1.9.64, 0.1.19	
gsea	GSEA	GSEA-MSigDB/gsea-desktop	720	69	233	418	fgsea, clusterProfiler, GSVA/ssGSEA, GSEApy, web tools	27	24	2.2.3×2, 2.0	
limma	limma	-	234	234	0	0		51		(no repository)	
trimmomatic	Trimmomatic	usadellab/Trimmomatic	291	291	0	0		176	169	2.6.0, 0.32.3, 0.3.9, 0.26, 0.33.0, 0.36.6, 0.36.3	
