pmid	pmcid	doi	journal	year	title	reason_not_readable
34875226		10.1016/j.cell.2021.11.024	Cell	2021	EASI-FISH for thick tissue defines lateral hypothalamus spatio-molecular organization.	no open full text in Europe PMC
34890552		10.1016/j.cell.2021.11.014	Cell	2021	Evolutionary assembly of cooperating cell types in an animal chemical defense system.	no open full text in Europe PMC
34890547		10.1016/j.cell.2021.11.006	Cell	2021	David M. Livingston (1941-2021).	no open full text in Europe PMC
34852238		10.1016/j.cell.2021.11.009	Cell	2021	Human antibody C10 neutralizes by diminishing Zika but enhancing dengue virus dynamics.	no open full text in Europe PMC
34942094		10.1016/j.cell.2021.11.034	Cell	2021	Sensational channels.	no open full text in Europe PMC
34767757		10.1016/j.cell.2021.10.015	Cell	2021	Autism-related dietary preferences mediate autism-gut microbiome associations.	no open full text in Europe PMC
34752731		10.1016/j.cell.2021.10.013	Cell	2021	Insular cortex neurons encode and retrieve specific immune responses.	no open full text in Europe PMC
34822781		10.1016/j.cell.2021.10.030	Cell	2021	Unrealized potential from smaller institutions: Four strategies for advancing STEM diversity.	no open full text in Europe PMC
34678143		10.1016/j.cell.2021.10.001	Cell	2021	Glycogen accumulation and phase separation drives liver tumor initiation.	no open full text in Europe PMC
34672953		10.1016/j.cell.2021.09.033	Cell	2021	An in vitro system to silence mitochondrial gene expression.	no open full text in Europe PMC
34644527		10.1016/j.cell.2021.09.030	Cell	2021	A phosphate starvation response-centered network regulates mycorrhizal symbiosis.	no open full text in Europe PMC
34644529		10.1016/j.cell.2021.09.022	Cell	2021	Spatially confined sub-tumor microenvironments in pancreatic cancer.	no open full text in Europe PMC
34597584		10.1016/j.cell.2021.09.009	Cell	2021	Ca<sup>2+</sup> sensor-mediated ROS scavenging suppresses rice immunity and is exploited by a fungal effector.	no open full text in Europe PMC
34562364		10.1016/j.cell.2021.08.007	Cell	2021	The surprise element: A hallmark of creativity in scientists, artists, and comedians.	no open full text in Europe PMC
34562360		10.1016/j.cell.2021.08.022	Cell	2021	How the discovery of microbial opsins led to the development of optogenetics.	no open full text in Europe PMC
34551315		10.1016/j.cell.2021.08.035	Cell	2021	Compromised nuclear envelope integrity drives TREX1-dependent DNA damage and tumor cell invasion.	no open full text in Europe PMC
34597597		10.1016/j.cell.2021.08.034	Cell	2021	Paul S. Frenette (1965-2021).	no open full text in Europe PMC
34478659		10.1016/j.cell.2021.08.015	Cell	2021	SnapShot: Clinical proteomics.	no open full text in Europe PMC
34433011		10.1016/j.cell.2021.07.032	Cell	2021	Ancient and modern genomes unravel the evolutionary history of the rhinoceros family.	no open full text in Europe PMC
34390642		10.1016/j.cell.2021.07.039	Cell	2021	Chromatin and gene-regulatory dynamics of the developing human cerebral cortex at single-cell resolution.	no open full text in Europe PMC
34214469		10.1016/j.cell.2021.06.003	Cell	2021	An atlas of protein-protein interactions across mouse tissues.	no open full text in Europe PMC
34171307		10.1016/j.cell.2021.05.018	Cell	2021	Human population history at the crossroads of East and Southeast Asia since 11,000 years ago.	no open full text in Europe PMC
34171306		10.1016/j.cell.2021.06.006	Cell	2021	Genome design of hybrid potato.	no open full text in Europe PMC
34166616		10.1016/j.cell.2021.05.042	Cell	2021	PspA adopts an ESCRT-III-like fold and remodels bacterial membranes.	no open full text in Europe PMC
34166613		10.1016/j.cell.2021.05.011	Cell	2021	Structural basis for VIPP1 oligomerization and maintenance of thylakoid membrane integrity.	no open full text in Europe PMC
34186018		10.1016/j.cell.2021.05.037	Cell	2021	Interconnecting solvent quality, transcription, and chromosome folding in Escherichia coli.	no open full text in Europe PMC
34146479		10.1016/j.cell.2021.05.029	Cell	2021	Reading the chromatinized genome.	no open full text in Europe PMC
34143954		10.1016/j.cell.2021.05.030	Cell	2021	Bifidobacteria-mediated immune system imprinting early in life.	no open full text in Europe PMC
34133942		10.1016/j.cell.2021.05.012	Cell	2021	Structure of RNA polymerase II pre-initiation complex at 2.9 Å defines initial DNA opening.	no open full text in Europe PMC
34115982		10.1016/j.cell.2021.05.009	Cell	2021	Cytomegalovirus subverts macrophage identity.	no open full text in Europe PMC
34115967		10.1016/j.cell.2021.05.014	Cell	2021	Affirming NIH's commitment to addressing structural racism in the biomedical research enterprise.	no open full text in Europe PMC
34171315		10.1016/j.cell.2021.05.034	Cell	2021	Josep Baselga (1959-2021).	no open full text in Europe PMC
34171316		10.1016/j.cell.2021.05.043	Cell	2021	STEM Pride: Perspectives from transgender, nonbinary, and genderqueer scientists.	no open full text in Europe PMC
34048699		10.1016/j.cell.2021.04.040	Cell	2021	The deep population history of northern East Asia from the Late Pleistocene to the Holocene.	no open full text in Europe PMC
34019794		10.1016/j.cell.2021.04.034	Cell	2021	Cardioids reveal self-organizing principles of human cardiogenesis.	no open full text in Europe PMC
34051138		10.1016/j.cell.2021.04.046	Cell	2021	Pan-genome analysis of 33 genetically diverse rice accessions reveals hidden genomic variations.	no open full text in Europe PMC
34038702		10.1016/j.cell.2021.04.029	Cell	2021	Iterative tomography with digital adaptive optics permits hour-long intravital observation of 3D subcellular dynamics at millisecond scale.	no open full text in Europe PMC
33991488		10.1016/j.cell.2021.04.020	Cell	2021	Mouse totipotent stem cells captured and maintained through spliceosomal repression.	no open full text in Europe PMC
33984278		10.1016/j.cell.2021.05.003	Cell	2021	The ZAR1 resistosome is a calcium-permeable channel triggering plant immune signaling.	no open full text in Europe PMC
34010619		10.1016/j.cell.2021.04.024	Cell	2021	Innovation, conservation, and repurposing of gene function in root cell type development.	no open full text in Europe PMC
33964211		10.1016/j.cell.2021.04.014	Cell	2021	A cis-regulatory atlas in maize at single-cell resolution.	no open full text in Europe PMC
34048705		10.1016/j.cell.2021.04.027	Cell	2021	Mitocytosis, a migrasome-mediated mitochondrial quality-control process.	no open full text in Europe PMC
33930287		10.1016/j.cell.2021.03.056	Cell	2021	Dynamic landscape of immune cell-specific gene regulation in immune-mediated diseases.	no open full text in Europe PMC
33989551		10.1016/j.cell.2021.04.026	Cell	2021	SnapShot: Microbiota effects on host physiology.	no open full text in Europe PMC
33989545		10.1016/j.cell.2021.03.041	Cell	2021	Ancestry matters: Building inclusivity into preclinical study design.	no open full text in Europe PMC
34048704		10.1016/j.cell.2021.04.041	Cell	2021	Endometriosis: Etiology, pathobiology, and therapeutic prospects.	no open full text in Europe PMC
33857423		10.1016/j.cell.2021.03.042	Cell	2021	High-precision coding in visual cortex.	no open full text in Europe PMC
33852913		10.1016/j.cell.2021.03.035	Cell	2021	ER-to-Golgi protein delivery through an interwoven, tubular network extending from ER.	no open full text in Europe PMC
33882274		10.1016/j.cell.2021.03.057	Cell	2021	Structural basis of assembly and torque transmission of the bacterial flagellar motor.	no open full text in Europe PMC
33838112		10.1016/j.cell.2021.03.024	Cell	2021	The long-term genetic stability and individual specificity of the human gut microbiome.	no open full text in Europe PMC
33826908		10.1016/j.cell.2021.02.034	Cell	2021	Bioelectric signaling: Reprogrammable circuits underlying embryogenesis, regeneration, and cancer.	no open full text in Europe PMC
33861963		10.1016/j.cell.2021.03.020	Cell	2021	Chimeric contribution of human extended pluripotent stem cells to monkey embryos ex vivo.	no open full text in Europe PMC
