package	category	n_papers	journals	years	top_versions	typical_pipeline_stages
R	general	2959	PNAS=1847;Nature=786;Cell=161;Lancet=92;Science=50;NEJM=23	2021=346;2022=563;2023=542;2024=568;2025=697;2026=243	4.0=68;4.1=52;4.2.2=44;4.0.3=43;3.6=39	differential/statistical testing=821;dimensionality reduction/clustering=221;visualisation=203;quantification=124
ImageJ	imaging	2443	PNAS=1748;Nature=550;Cell=108;Science=37	2021=211;2022=476;2023=461;2024=513;2025=598;2026=184	1.53=17;2.1.0=16;1.53t=14;1.53c=12;2.0.0=12	quantification=680;visualisation=89;normalisation=86;differential/statistical testing=28
AlphaFold	structbio	1197	PNAS=842;Nature=268;Science=45;Cell=41;NEJM=1	2021=6;2022=109;2023=240;2024=295;2025=408;2026=139	2.0=7;2.2.0=4;2.3.2=4;3.0=4;2.3.1=3	structure determination=71;alignment/mapping=46;dimensionality reduction/clustering=38;machine learning=27
UMAP	single-cell	1111	PNAS=544;Nature=453;Cell=77;Science=37	2021=87;2022=130;2023=181;2024=239;2025=338;2026=136	0.2.7.0=1;3.1=1;0.5.1=1	dimensionality reduction/clustering=1111;visualisation=282;normalisation=82;differential/statistical testing=20
Python	general	964	PNAS=514;Nature=360;Cell=60;Science=16;Lancet=14	2021=77;2022=165;2023=160;2024=200;2025=260;2026=102	3.7=27;3.9=19;3.6=18;3.8=14;3.10=13	differential/statistical testing=78;simulation/modelling=61;visualisation=58;alignment/mapping=50
PHENIX	structbio	905	PNAS=558;Nature=256;Cell=62;Science=29	2021=87;2022=184;2023=170;2024=176;2025=230;2026=58	1.20.1=33;1.19.2=14;1.21=11;1.20=8;1.19=8	structure determination=657;machine learning=10;visualisation=8;simulation/modelling=6
DESeq2	genomics	886	PNAS=498;Nature=307;Cell=56;Science=24;NEJM=1	2021=76;2022=142;2023=138;2024=198;2025=229;2026=103	1.30.1=18;1.26.0=17;1.32.0=16;1.34.0=13;1.36.0=13	differential/statistical testing=586;normalisation=163;quantification=109;alignment/mapping=54
Seurat	single-cell	767	Nature=377;PNAS=304;Cell=59;Science=27	2021=58;2022=96;2023=130;2024=169;2025=216;2026=98	4.3.0=37;4.1.0=24;5.1.0=18;4.1.1=18;5.0.1=12	dimensionality reduction/clustering=199;normalisation=109;quality control=51;visualisation=49
GSEA	genomics	720	PNAS=469;Nature=199;Cell=35;Science=16;NEJM=1	2021=47;2022=105;2023=133;2024=158;2025=200;2026=77	4.3.2=7;4.0.3=6;4.1.0=6;4.2.3=3;2.2.3=2	differential/statistical testing=134;dimensionality reduction/clustering=66;normalisation=26;quantification=13
PyMOL	structbio	700	PNAS=458;Nature=178;Cell=53;Science=11	2021=67;2022=141;2023=153;2024=135;2025=161;2026=43	2.5=15;2.5.2=9;2.5.4=7;2.4=7;2.5.0=6	visualisation=319;alignment/mapping=49;structure determination=21;simulation/modelling=12
